tokens,labels
"['Zum', 'Beispiel,', '\\newline', 'weil', 'die', 'Person', 'gute', 'Dinge', 'gemacht', 'hat.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Das', 'Lob', 'macht', 'eine', 'Stadt', 'oder', 'eine', 'Gemeinde.']","[0, 0, 0, 0, 1, 0, 0, 2]"
"['Die', 'Stadt', 'oder', 'die', 'Gemeinde', 'gibt', 'der', 'Person', 'eine', 'Auszeichnung.']","[0, 1, 0, 0, 2, 0, 0, 0, 0, 0]"
"['Zu', 'der', 'Auszeichnung', 'sagt', 'man', 'auch', 'Eh\xadren\xad-bür\xadger\xad-schaft.']","[0, 0, 0, 0, 0, 0, 0]"
"['Wenn', 'die', 'Auszeichnung', 'von', 'einer', 'Schule', 'kommt,', '\\newline', 'sagt', 'man:', 'Ehren-bürger-würde.']","[1, 0, 1, 1, 0, 1, 1, 0, 2, 2, 2]"
"['Das', 'Wort', 'Ehrgeiz', 'kommt', 'aus', 'den', 'Worten', 'Ehre', 'und', 'Gier.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]"
"['Ehrgeiz', 'ist', 'eine', 'Sucht', 'nach', 'Anerkennung.']","[0, 0, 0, 0, 0, 0]"
"['Diese', 'Anerkennung', 'soll', 'den', 'Ehrgeizigen', 'über', 'seine', 'Mit-menschen', 'hervorheben.']","[0, 1, 1, 0, 1, 2, 2, 2, 1]"
"['Ein', 'Ehrgeiziger', 'sucht', 'den', 'Beifall.']","[0, 0, 0, 0, 0]"
"['Der', 'Beifall', 'ist', 'seine', 'Belohnung.']","[0, 0, 0, 0, 0]"
"['Seine', 'Mitmenschen', 'sollen', 'ihn', 'bewundern.']","[0, 0, 0, 0, 0]"
"['Im', 'Eichsfeld', 'wohnen', '100', 'Tausend', 'Menschen.']","[0, 0, 0, 0, 0, 0]"
"['Hier', 'leben', 'viele', 'katholische', 'Christen.']","[0, 0, 0, 1, 2]"
"['Papst', 'Benedikt', 'war', 'im', 'Jahr', '2011', 'im', 'Eichsfeld.']","[1, 1, 1, 2, 2, 2, 1, 1]"
"['Es', 'gibt', 'viele', 'Kirchen,', 'Burgen', 'und', 'Schlösser.']","[0, 0, 0, 1, 2, 0, 3]"
"['Und', 'es', 'gibt', 'viele', 'Wälder', 'und', 'Berge.']","[0, 0, 0, 0, 1, 0, 2]"
"['Bekannt', 'ist', 'auch', 'die', 'Feldgieker-Wurst.']","[0, 0, 0, 0, 0]"
"['Diese', 'Wurst', 'gibt', 'es', 'nur', 'im', 'Eichsfeld.']","[0, 0, 0, 0, 0, 0, 0]"
"['Eichsfeld', 'ist', 'eine', 'Region', 'in', 'der', 'Mitte', 'von', 'Deutschland.']","[1, 1, 0, 0, 2, 0, 2, 2, 2]"
"['Die', 'größten', 'Orte', 'im', 'Eichsfeld', 'sind:', '\\newline', '', 'Heilbad', 'Heiligenstadt', '\\newline', '', 'Duderstadt', '\\newline', '', 'Leinefelde-Worbis']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 3]"
"['Mit', 'einem', 'Eid', 'verspricht', 'man', 'etwas.']","[0, 0, 0, 0, 0, 0]"
"['Arzt', 'haben', 'früher', 'einen', 'Eid', 'abgeben.']","[0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel,', 'dass', 'sie', 'kranken', 'Menschen', 'helfen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'müssen', 'sie', 'versprechen.']","[0, 0, 0, 0]"
"['Diesen', 'Eid', 'nennt', 'man', '""Eid', 'des', 'Hippokrates"".']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'Gegenteil', 'von', 'Eid', 'ist', '""Meineid"".']","[0, 0, 0, 0, 0, 0]"
"['Das', 'Wort', 'Eid', 'ist', 'ein', 'Substantiv.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Eid', 'ist', 'ein', 'großes', 'Versprechen.']","[0, 0, 0, 0, 1, 2]"
"['Man', 'verpflichtet', 'sich', 'die', 'Wahrheit', 'zu', 'sagen.']","[1, 1, 1, 0, 2, 2, 2]"
"['Oder', 'etwas', 'bestimmtes', 'zu', 'tun.']","[0, 0, 0, 0, 0]"
"['Die', 'Eier-kennzeichnung', 'ist', 'eine', 'Nummer', 'auf', 'einem', 'Ei.']","[0, 0, 0, 0, 1, 2, 0, 2]"
"['Für', 'Eier-legende', 'Woll-milch-sau', 'gibt', 'es', 'eine', 'Bild', 'Vorstellung.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Eine', 'Vorstellung', 'von', 'einem', 'Tier', 'das', 'es', 'nicht', 'gibt.']","[0, 1, 0, 0, 0, 2, 2, 2, 2]"
"['In', 'diesem', 'Bild', 'kommt', 'vor:', '•', 'ein', 'Huhn', 'das', 'Eier', 'legt']","[1, 0, 1, 1, 1, 0, 0, 2, 3, 3, 3]"
"['In', 'diesem', 'Bild', 'kommt', 'vor:', '•', 'ein', 'Schaf', 'das', 'Wolle', 'gibt']","[1, 0, 1, 1, 1, 0, 0, 2, 3, 3, 3]"
"['In', 'diesem', 'Bild', 'kommt', 'vor:', '•', 'eine', 'Kuh', 'die', 'Milch', 'gibt']","[1, 0, 1, 1, 1, 0, 0, 2, 3, 3, 3]"
"['In', 'diesem', 'Bild', 'kommt', 'vor:', '•', 'ein', 'Schwein', 'das', 'Fleisch', 'gibt']","[1, 0, 1, 1, 1, 0, 0, 2, 3, 3, 3]"
"['Eine', 'Eier-legende', 'Woll-milch-sau', 'ist', 'kein', 'Tier.']","[0, 0, 0, 0, 0, 0]"
"['Eier-legende', 'Woll-milch-sau', 'wird', 'gesagt,', 'wenn', 'jemand', 'alles', 'kann.']","[1, 1, 1, 1, 2, 2, 2, 2]"
"['Oder', 'alles', 'nur', 'gut', 'ist', '(und', 'es', 'nichts', 'schlechtes', 'gibt).']","[0, 1, 1, 1, 1, 0, 2, 2, 2, 2]"
"['Zum', 'Beispiel', 'wenn:', '•', 'etwas', 'nur', 'gut', 'ist']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel', 'wenn:', '•', 'es', 'nur', 'Vorteile', 'hat']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel', 'wenn:', '•', 'alles', 'Positiv', 'ist']","[0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel', 'wenn:', '•', 'es', 'keine', 'Nachteile', 'hat']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel', 'wenn:', '•', 'jemand', 'alles', 'kann']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Ei', 'wird', 'ge-kocht.']","[0, 0, 0, 0]"
"['Damit', 'es', 'hart', 'wird.']","[0, 0, 0, 0]"
"['Und', 'damit', 'es', 'besser', 'schmeckt.']","[0, 0, 0, 0, 0]"
"['Und', 'damit', 'es', 'warm', 'wird.']","[0, 0, 0, 0, 0]"
"['Das', 'warme', 'Ei', 'macht', 'man', 'in', 'einen', 'Eier-wärmer.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Damit', 'das', 'Ei', 'länger', 'warm', 'bleibt.']","[0, 0, 0, 0, 0, 0]"
"['Eier-wärmer', 'sind', 'aus', 'Stoff.']","[0, 0, 0, 0]"
"['Es', 'gibt', 'Eier-wärmer', 'für', 'mehrere', 'Eier.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'sind', 'Warm-halte-behälter.']","[0, 0, 0]"
"['Eier-wärmer', 'gibt', 'es', 'seit', 'dem', '16.', 'Jahr-hundert.']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Eierwärmer', 'ist', 'eine', 'Hülle', 'für', 'ein', 'Ei.', '', '\\newline', '', '\\newline', 'Man', 'stellt', 'ein', 'Ei', 'rein.']","[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 2, 0, 2, 2]"
"['Und', 'macht', 'einen', 'Deckel', 'darauf.']","[0, 0, 0, 0, 0]"
"['Damit', 'das', 'Ei', 'warm', 'bleibt.']","[0, 0, 0, 0, 0]"
"['Eifersucht', 'ist', 'Angst.']","[0, 0, 0]"
"['Die', 'Angst', 'verlassen', 'zu', 'werden.']","[0, 0, 0, 0, 0]"
"['Darum', 'ist', 'Eifersucht', 'auch', 'eine', 'Verlust-angst.']","[0, 0, 0, 0, 0, 0]"
"['Diese', 'Angst', 'kann', 'Traurigkeit', 'und', 'Wut', 'auslösen.']","[0, 0, 0, 1, 0, 2, 0]"
"['Wobei', 'Gedanken', 'an', 'Rache', 'entstehen.']","[0, 0, 0, 0, 0]"
"['Oft', 'kommt', 'es', 'auch', 'zu', 'Gewalt-taten.']","[0, 0, 0, 0, 0, 0]"
"['Bei', 'Eifersucht', 'kommt', 'es', 'zu', 'einer', 'Kränkung.']","[0, 0, 0, 0, 0, 0, 0]"
"['Diese', 'Kränkung', 'kann', 'einen', 'Minderwertig-keits-gefühl', 'auslösen.']","[0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel:', '\\newline', 'Tom', 'ist', 'eifersüchtig.']","[0, 0, 0, 0, 0, 0]"
"['Er', 'sieht', 'wie', 'Susi', 'dem', 'Peter', 'einen', 'Kuss', 'gibt.']","[1, 1, 2, 2, 0, 2, 0, 2, 2]"
"['Tom', 'hat', 'Angst', 'davor:', '\\newline', 'Wenn', 'Susi', 'mit', 'Peter', 'weggeht,', '\\newline', 'dann', 'wird', 'er', 'alleine', 'sein.']","[1, 1, 1, 1, 0, 2, 2, 3, 3, 2, 0, 4, 4, 4, 4, 4]"
"['Er', 'mag', 'Susi.']","[0, 0, 0]"
"['Aber', 'jetzt', 'liebt', 'Susi', 'den', 'Peter.']","[0, 0, 0, 0, 0, 0]"
"['Tom', 'wird', 'traurig', 'und', 'wütend.']","[0, 0, 1, 0, 2]"
"['Er', 'will', 'sich', 'das', 'nicht', 'gefallen', 'lassen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'überlegt:', '\\newline', 'Wie', 'er', 'Susi', 'und', 'Peter', 'eins', 'auswischen', 'kann.']","[1, 1, 0, 3, 3, 2, 0, 3, 3, 3, 3]"
"['Tom', 'fühlt', 'sich', 'schlecht.']","[0, 0, 0, 0]"
"['Er', 'fühlt', 'sich', 'in', 'seinem', 'Stolz', 'verletzt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Eifersucht', 'kann', 'in', 'Gedanken', 'und', 'Gefühlen', 'vorkommen.']","[0, 0, 0, 1, 0, 2, 0]"
"['Wenn', 'man', 'eifersüchtig', 'ist,', '\\newline', 'dann', 'ist', 'man', 'unsicher.']","[1, 1, 1, 1, 0, 2, 2, 2, 2]"
"['Man', 'hat', 'Angst', 'und', 'Sorge.']","[0, 0, 1, 0, 2]"
"['Weil', 'man', 'Besitz', 'verliert.']","[0, 0, 0, 0]"
"['Im', 'Jahr', '1789', 'war', 'die', 'Französische', 'Revolution.']","[0, 0, 0, 0, 0, 0, 0]"
"['Im', 'Jahr', '1889', 'war', 'die', '100-Jahr-feier', 'zur', 'Französischen', 'Revolution.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Frankreich', 'wollte', 'zur', 'Feier', 'einen', 'Turm', 'haben.']","[1, 1, 2, 2, 0, 1, 1]"
"['Frankreich', 'hat', 'gesagt:', '\\newline', 'Gustave', 'Eiffel', 'soll', 'den', 'Turm', 'bauen.']","[1, 1, 1, 0, 2, 2, 2, 0, 2, 2]"
"['Er', 'hat', 'auch', 'beim', 'Bau', 'von', 'der', 'Freiheits-statue', 'mit', 'gemacht.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Im', 'Jahr', '1887', 'haben', 'Arbeiter', 'angefangen,', '\\newline', 'den', 'Eiffel-turm', 'zu', 'bauen.']","[1, 1, 1, 2, 2, 2, 0, 0, 3, 3, 3]"
"['Im', 'Jahr', '1889', 'waren', 'sie', 'fertig.']","[0, 0, 0, 0, 0, 0]"
"['Zwischen', '80', 'und', '250', 'Arbeiter', 'haben', 'am', 'Turm', 'mit', 'gearbeitet.']","[0, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Arbeiter', 'ist', 'dabei', 'gestorben.']","[0, 0, 0, 0, 0]"
"['Der', 'Turm', 'soll', 'nach', '20', 'Jahren', 'wieder', 'abgebaut', 'werden.']","[0, 1, 1, 2, 2, 2, 1, 1, 1]"
"['Aber', 'der', 'Turm', 'war', 'auch', 'praktisch.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Turm', 'ist', 'auch', 'ein', 'Radio-sende-turm.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'die', 'Leute', 'haben', 'sich', 'an', 'den', 'Turm', 'gewöhnt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Leute', 'wollten', 'den', 'Turm', 'behalten.']","[0, 0, 0, 0, 0, 0]"
"['Viele', 'Menschen', 'kommen', 'jedes', 'Jahr', 'zum', 'Eiffel-turm.']","[1, 1, 1, 2, 2, 1, 1]"
"['Der', 'Eiffel-turm', 'ist', 'ein', 'Fach-werk-turm', 'aus', 'Eisen.']","[0, 0, 0, 0, 1, 2, 2]"
"['Der', 'Turm', 'steht', 'in', 'Paris,', 'Frankreich.']","[0, 0, 0, 0, 1, 2]"
"['Der', 'Turm', 'ist', 'das', 'Wahr-zeichen', 'von', 'Paris.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'ist', '324', 'Meter', 'hoch,', '\\newline', 'und', 'hat', '1700', 'Stufen.']","[0, 0, 1, 1, 1, 0, 0, 2, 2, 2]"
"['Wenn', 'man', '', 'Eigentum', 'hat,', '', '\\newline', 'ist', 'man', 'Eigentümer.']","[1, 1, 0, 1, 1, 0, 0, 2, 2, 2]"
"['Eigentum', 'ist', 'ge-schützt.']","[0, 0, 0]"
"['Das', 'steht', 'im', 'Grund-gesetz.']","[0, 0, 0, 0]"
"['Eigentum', 'ist', 'etwas', 'das', 'einem', 'selbst', 'gehört.']","[1, 1, 1, 2, 2, 2, 2]"
"['Man', 'darf', 'alleine', 'entscheiden,', '\\newline', 'was', 'man', 'damit', 'macht.']","[1, 1, 1, 1, 0, 2, 2, 2, 2]"
"['Bei', 'der', 'Selbstbestimmung', 'hat', 'man', 'auch', 'Eigen-verantwortung.']","[1, 0, 1, 2, 2, 2, 2]"
"['Man', 'muss', 'die', 'Folgen', 'selbst', 'übernehmen.']","[0, 0, 0, 0, 0, 0]"
"['Für', 'das,', 'was', 'man', 'tut.']","[0, 0, 0, 0, 0]"
"['Und', 'kommt', 'aus', 'Deutschland.']","[0, 0, 0, 0]"
"['Vielleicht', 'kommt', 'dieser', 'Spruch', 'aus', 'der', 'Buchführung.']","[0, 0, 0, 0, 0, 0, 0]"
"['Weil', 'wenn', 'ein', 'Buchhalter', 'eine', 'waagerechte', 'Linie', 'unter', 'ein', 'Konto', 'zieht,', '', '\\newline', 'dann', 'schließt', 'dieser', 'eine', 'Rechnung', 'ab.']","[1, 1, 0, 1, 1, 1, 2, 2, 0, 2, 1, 0, 0, 3, 3, 3, 3, 3, 3]"
"['Wenn', 'man', 'einen', 'Schlussstrich', 'unter', 'etwas', 'zieht,', '\\newline', 'dann', 'schließt', 'man', 'etwas', 'ab.']","[1, 1, 0, 2, 2, 2, 1, 0, 3, 3, 3, 3, 3]"
"['Schwierige', 'Fremd-wörter', 'werden', 'bei', 'Einfacher', 'Sprache', 'erklärt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Für', 'Einfache', 'Sprache', 'gibt', 'es', 'keine', 'genauen', 'Regeln.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Einfache', 'Sprache', 'ist', 'für', 'viele', 'Menschen', 'wichtig.']","[0, 0, 0, 0, 0, 0, 0]"
"['Mit', 'Einfacher', 'Sprache', 'können', 'viele', 'Menschen', 'Texte', 'verstehen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Texte', 'in', 'Einfacher', 'Sprache', 'helfen', 'beim', 'Lesen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Bei', 'der', 'Einfacher', 'Sprache', 'können', 'die', 'Sätze', 'bis', 'zu', '15', 'Wörter', 'haben.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Das', 'heißt,', '', '\\newline', 'die', 'Sätze', 'können', 'länger', 'als', 'bei', 'Leichter', 'Sprache', 'sein.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Einfache', 'Sprache', 'heißt,', '\\newline', 'so', 'reden', 'und', 'schreiben,', 'dass', 'es', 'viele', 'verstehen.']","[1, 1, 1, 0, 3, 2, 0, 3, 4, 4, 4, 4]"
"['Einfache', 'Sprache', 'ist', 'ähnlich', 'wie', 'Leichte', 'Sprache.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Einfache', 'Sprache', 'ist', 'schwieriger', 'als', 'die', 'Leichte', 'Sprache.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Bei', 'Einfacher', 'Sprache', 'benutzt', 'man', 'auch', 'schwere', 'Wörter.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'einfaches', 'Leben', 'ist', 'das', 'Gegenteil', 'von:', 'Überfluss-leben.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Menschen', 'die', 'ein', 'einfaches', 'Leben', 'leben,', '\\newline', 'möchten', 'nicht', 'so', 'viele', 'Dinge', 'besitzen.']","[0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2]"
"['Sie', 'sagen', 'dazu:', 'Konsum-verzicht.']","[0, 0, 0, 0]"
"['Die', 'Menschen', 'schauen', 'genau', 'was', 'sie', 'kaufen.']","[0, 1, 1, 1, 2, 2, 2]"
"['Sie', 'beobachten', 'sich', 'selber', 'bei', 'ihrem', 'Kauf-verhalten.']","[0, 0, 0, 0, 0, 0, 0]"
"['Und', 'stellen', 'sich', 'Fragen', 'dazu.']","[0, 0, 0, 0, 0]"
"['Ein', 'Einfaches', 'Leben', 'ist', 'ein', 'Leben', 'ohne', 'viele', 'Sachen', 'zu', 'haben.']","[0, 1, 1, 1, 0, 0, 2, 2, 2, 2, 2]"
"['Das', 'Wort', 'einfältig', 'ist', 'ein', 'Adjektiv.']","[0, 0, 0, 0, 0, 0]"
"['Einfältig', 'ist', 'jemand,', '', '\\newline', 'der', 'nicht', 'besonders', 'schlau', 'ist.']","[1, 1, 1, 0, 0, 2, 2, 2, 2, 2]"
"['Mit', 'den', 'Ohren', 'von', 'Anderen', 'zu', 'hören.']","[0, 0, 0, 0, 0, 0, 0]"
"['Mit', 'dem', 'Herzen', 'von', 'Anderen', 'zu', 'fühlen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Eingabe', 'und', 'Ausgabe', 'sind', 'Wörter.']","[1, 0, 2, 0, 0]"
"['Sie', 'werden', 'in', 'der', 'Computer-Fach-Sprache', 'benutzt', 'werden.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Eingabe', 'ist', 'das', 'was', 'gemacht', 'wird.']","[0, 1, 1, 1, 2, 2, 2]"
"['Die', 'Ausgabe', 'ist', 'das', 'Ergebnis.']","[0, 0, 0, 0, 0]"
"['Die', 'Eingewöhnung-zeit', 'ist', 'der', 'Anfang', 'im', 'Kindergarten.']","[0, 0, 0, 0, 0, 0, 0]"
"['Eltern', 'und', 'Erzieher', 'machen', 'zusammen', 'einen', 'Plan', 'für', 'die', 'Eingewöhnung.']","[1, 0, 2, 2, 3, 0, 4, 4, 0, 4]"
"['Am', 'Anfang', 'ist', 'das', 'Kind', 'mit', 'Mama', 'oder', 'Papa', 'im', 'Kindergarten.']","[1, 1, 3, 0, 3, 3, 2, 0, 3, 3, 3]"
"['Später', 'bleibt', 'das', 'Kind', 'für', '2', 'oder', '3', 'Stunden', 'alleine.']","[1, 3, 0, 3, 3, 2, 0, 3, 3, 3]"
"['Nach', 'ein', 'paar', 'Wochen', 'bleibt', 'das', 'Kind', 'ganz', 'allein', 'im', 'Kindergarten', 'und', 'kommt', 'jeden', 'Tag.']","[1, 0, 1, 1, 2, 0, 3, 2, 2, 2, 2, 0, 3, 3, 3]"
"['', '•', 'Wer', 'Hilfe', 'braucht,', 'muss', 'sie', 'bekommen.']","[0, 0, 1, 1, 1, 2, 2, 2]"
"['Das', 'kann', 'Geld', 'sein.', '•', 'Eingliederungshilfe', 'gibt', 'es,', 'wenn', 'man', 'krank', 'ist']","[1, 1, 1, 1, 0, 2, 2, 2, 3, 3, 3, 3]"
"['Das', 'kann', 'Geld', 'sein.', '•', 'Eingliederungshilfe', 'gibt', 'es', 'zur', 'Teilhabe', 'am', 'Arbeitsleben']","[1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2]"
"['Das', 'kann', 'Geld', 'sein.', '•', 'Eingliederungshilfe', 'gibt', 'es', 'zur', 'Teilhabe', 'am', 'Leben', 'in', 'der', 'Gemeinschaft.']","[1, 1, 1, 1, 0, 2, 2, 2, 2, 0, 2, 3, 3, 0, 3]"
"['Das', 'kann', 'Geld', 'sein.', '•', 'Manchmal', 'gibt', 'es', 'Eingliederungshilfe', 'auch', 'als', 'Gutschein.']","[1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2]"
"['Ein-kommen', 'aus', 'Besitz', 'bedeutet:', '', '\\newline', 'Du', 'hast', 'etwas.']","[1, 1, 1, 1, 0, 0, 2, 2, 2]"
"['Beispiel:', 'Du', 'hast', 'Geld.']","[0, 0, 0, 0]"
"['Du', 'bringst', 'dein', 'Geld', 'auf', 'die', 'Bank.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'heißt:', 'Du', 'hast', 'dein', 'Geld', 'auf', 'einem', 'Bank-konto.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Du', 'bekommst', 'von', 'der', 'Bank', 'Geld.']","[0, 0, 0, 0, 0, 0]"
"['Denn', 'du', 'gibst', 'der', 'Bank', 'dein', 'Geld.']","[0, 0, 0, 0, 0, 0, 0]"
"['Du', 'bekommst', 'von', 'der', 'Bank', 'Geld.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'Geld', 'heißt', 'Zinsen.']","[0, 0, 0, 0]"
"['Beispiel:', '', '\\newline', 'Du', 'hast', 'ein', 'Haus.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'Haus', 'gehört', 'dir.']","[0, 0, 0, 0]"
"['Du', 'sagst:', 'Ich', 'wohne', 'in', 'einer', 'anderen', 'Stadt.']","[1, 1, 2, 2, 2, 0, 2, 2]"
"['Darum', 'können', 'Menschen', 'in', 'meinem', 'Haus', 'wohnen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Du', 'lässt', 'Menschen', 'in', 'deinem', 'Haus', 'wohnen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Dafür', 'geben', 'dir', 'die', 'Menschen', 'Geld.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'Geld', 'heißt', 'Miete.']","[0, 0, 0, 0]"
"['Die', 'Menschen', 'sind', 'Mieter.']","[0, 0, 0, 0]"
"['Ein-kommen', 'bedeutet:', 'Du', 'bekommst', 'Geld.']","[1, 1, 2, 2, 2]"
"['Ein-kommen', 'aus', 'Besitz', 'bedeutet:', '', '\\newline', 'Du', 'hast', 'schon', 'etwas.']","[1, 1, 1, 1, 0, 0, 2, 2, 2, 2]"
"['Und', 'dafür', 'bekommst', 'du', 'Geld.']","[0, 0, 0, 0, 0]"
"['Wenn', 'du', 'arbeitest,', '\\newline', 'dann', 'bekommst', 'du', 'Geld.']","[1, 1, 1, 0, 2, 2, 2, 2]"
"['Du', 'kannst', 'zu', 'diesem', 'Geld', 'Ein-kommen', 'sagen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Beispiel:', '', '\\newline', 'Marco', 'arbeitet', 'in', 'einer', 'Auto-werkstatt.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Marco', 'hat', 'mit', 'seiner', 'Arbeit', 'ein', 'Ein-kommen.']","[1, 1, 2, 2, 2, 0, 1]"
"['Ein-kommens-arten', 'sind', 'zum', 'Beispiel:', '•', 'Ein-kommen', 'aus', 'selbst-ständiger', 'Tätigkeit']","[1, 1, 1, 1, 0, 2, 2, 2, 2]"
"['Ein-kommens-arten', 'sind', 'zum', 'Beispiel:', '•', 'Ein-kommen', 'aus', 'nicht-selbst-ständiger', 'Tätigkeit']","[1, 1, 1, 1, 0, 2, 2, 2, 2]"
"['Ein-kommens-arten', 'sind', 'zum', 'Beispiel:', '•', 'Ein-kommen', 'aus', 'Besitz']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein-kommens-arten', 'sind', 'zum', 'Beispiel:', '•', 'Transfer-Ein-kommen']","[0, 0, 0, 0, 0, 0]"
"['Ein-kommens-arten', 'sind', 'zum', 'Beispiel:', '•', 'Mini-Job']","[0, 0, 0, 0, 0, 0]"
"['Ein-kommen', 'ist', 'ein', 'Substantiv.']","[0, 0, 0, 0]"
"['Ein-kommen', 'bedeutet:', 'Du', 'bekommst', 'Geld.']","[1, 1, 2, 2, 2]"
"['Das', 'Gegenteil', 'von', 'einer', 'Einladung', 'ist', 'eine', 'Ausladung.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Eine', 'Einladung', 'ist', 'wenn', 'man', 'möchte', 'das', 'jemand', 'zu', 'Besuch', 'kommt.']","[0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3]"
"['Man', 'kann', 'eine', 'Einladung', 'mündlich', 'geben.']","[0, 0, 0, 0, 0, 0]"
"['Oder', 'man', 'kann', 'sie', 'schreiben.']","[0, 0, 0, 0, 0]"
"['Ein-personen-packungen', 'gibt', 'es', 'für', 'Soldaten.']","[0, 0, 0, 0, 0]"
"['Früher', 'hat', 'man', 'dazu', 'Ein-mann-packung', 'gesagt.']","[0, 0, 0, 0, 0, 0]"
"['Noch', 'früher', 'hat', 'man', 'Eiserne', 'Ration', 'gesagt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein-personen-packungen', 'sind', 'sehr', 'lange', 'halt-bar.']","[0, 0, 0, 0, 0]"
"['Eine', 'Einpersonenpackung', 'ist', 'Essen', 'und', 'Trinken.']","[0, 0, 0, 1, 0, 2]"
"['Damit', 'kann', 'man', '1', 'Tag', 'lang', 'Essen', 'und', 'Trinken.']","[0, 0, 0, 0, 0, 0, 1, 0, 2]"
"['Meistens', 'hat', 'ein', 'Ein-rad:', '•', 'keine', 'Bremse']","[0, 0, 0, 0, 0, 0, 0]"
"['Meistens', 'hat', 'ein', 'Ein-rad:', '•', 'keinen', 'Lenker']","[0, 0, 0, 0, 0, 0, 0]"
"['Meistens', 'hat', 'ein', 'Ein-rad:', '•', 'keine', 'Gangschaltung']","[0, 0, 0, 0, 0, 0, 0]"
"['Meistens', 'hat', 'ein', 'Ein-rad:', '•', 'keine', 'Fahr-rad-kette']","[0, 0, 0, 0, 0, 0, 0]"
"['Manche', 'Artisten', 'im', 'Zirkus', 'fahren', 'ein', 'Ein-rad.']","[0, 0, 0, 0, 0, 0, 0]"
"['Es', 'gibt', 'auch', 'für', 'verschiedene', 'Ein-rad-sport-arten.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Ein-rad', 'ist', 'ein', 'Fahrrad.']","[0, 0, 0, 0, 0]"
"['Das', 'Ein-rad', 'hat', 'nur', '1', 'Rad.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Sattel', 'ist', 'direkt', 'über', 'dem', 'Rad.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Pedale', 'sind', 'direkt', 'am', 'Rad.']","[0, 0, 0, 0, 0, 0]"
